model,Equities (8),Crypto — 4 coins,Crypto — 22 coins,Futures — rates (FV/TY),Futures — commodity (8),Futures — equity-index (ES/NQ),Futures — fx (EU),Futures — all (13)
RW,0/8,0/4,2/22,–,–,–,–,–
HistMean,0/8,0/4,2/22,–,–,–,–,–
MA22,0/8,0/4,5/22,–,2/8,–,–,2/13
EWMA,2/8,3/4,17/22,–,6/8,1/2,1/1,8/13
AR1Log,3/8,1/4,8/22,–,1/8,1/2,–,2/13
ARFIMA,4/8,–,–,–,4/8,1/2,1/1,6/13
HAR,3/8,0/4,6/22,–,2/8,1/2,1/1,4/13
LogHAR,8/8,4/4,20/22,–,5/8,1/2,1/1,7/13
HAR-J,n/c,–,6/22,–,1/8,1/2,1/1,3/13
LogHAR-J,n/c,–,21/22,2/2,4/8,1/2,1/1,8/13
HAR-CJ,n/c,–,5/22,–,1/8,–,1/1,2/13
LogHAR-CJ,n/c,–,21/22,2/2,7/8,1/2,1/1,11/13
SHAR,n/c,–,6/22,–,2/8,1/2,1/1,4/13
LogSHAR,n/c,–,22/22,1/2,5/8,2/2,1/1,9/13
HARQ,sim-only,0/4,6/22,–,–,1/2,–,1/13
GBRT,2/8,2/4,17/22,–,5/8,1/2,1/1,7/13
